bibkey	reference
Baig2015	Baig, Mohammed Muzeruddin, Anil Kumar Dubey, and Vilayanoor Venkataraman Ramamurthy. “Biology and morphology of life stages of three species of whiteflies (Hemiptera: Aleyrodidae) from India”. The Pan-Pacific Entomologist 91.2. issn: 0031-0603 (2015): 168–183. Print.	
Baker2012	Baker, Gerald T, Stephen D Hight, and Richard L Brown. “External morphology of the egg of the native (Melitara prodenialis) and exotic (Cactoblastis cactorum) cactus moths (Lepidoptera: Pyralidae)”. Proceedings of the Entomological Society of Washington 114.4. issn: 0013-8797 (2012): 433–438. Print.	
Baker1994	Baker, Gerald T and Peter W K Ma. “Morphology and chorionic fine structure of the egg of Neurocolpus nubilus (Hemiptera: Miridae)”. Transactions of the American Microscopical Society. issn: 0003-0023 (1994): 80–85. Print.	
Baker1987	Baker, Gerald T and Wai K Ma. “Chorionic structure of Dineutes horni Rbts. (Coleoptera: Gyrinidae)”. Italian Journal of Zoology 54.3. issn: 0373-4137 (1987): 209–212. Print.	
Baker1987a	“Chorionic structure of Dineutes horni Rbts. (Coleoptera: Gyrinidae)”. Italian Journal of Zoology 54.3. issn: 0373-4137 (1987): 209–212. Print.	
Baker2013	Baker, Gerald T, et al. “Morphological and ultrastructural characteristics of the chorion of Cimex lectularius Linnaeus (Hemiptera: Cimicidae)”. Proceedings of the Entomological Society of Washington 115.4. issn: 0013-8797 (2013): 325–332. Print.	
Baker1971	Baker, J R. “Development and sexual dimorphism of larvae of the bee genus Coelioxys”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1971): 225–235. Print.	
baker1968egg	Baker, J R and H H Neunzig. “The egg masses, eggs, and first-Instar larvae of eastern North American Corydalidae”. Annals of the Entomological Society of America 61.5 (1968): 1181–1187. Print.	
Ballerio2009	Ballerio, Alberto. “Unusual morphology in a new genus and species of Ceratocanthinae from New Guinea (Coleoptera: Scarabaeoidea: Hybosoridae)”. The Coleopterists Bulletin 63.1. issn: 0010-065X (2009): 44–53. Print.	
balter1968microtopography	Balter, R S. “The microtopography of avian lice eggs”. Medical Biology Illustrated 18.3 (1968): 166–179. Print.	
Bambara1977	Bambara, Stephen B and H H Neunzig. “Descriptions of immature stages of the grape root borer, Vitacea polistiformis (Lepidoptera: Sesiidae)”. Annals of the Entomological Society of America 70.6. issn: 0013-8746 (1977): 871–875. Print.	
bantock1970experiments	Bantock, C R. “Experiments on chromosome elimination in the gall midge, Mayetiola destructor”. Development 24.2 (1970): 257–286. Print.	
Baran2002	Baran, T. “Immature stages and bionomy of Scythris bifissella [Hofmann, 1889] [Lepidoptera: Scythrididae]”. Polskie Pismo Entomologiczne 3.71. issn: 0032-3780 (2002). Print.	
Baran2003	Baran, Tomasz. “Life history and description of the preimaginal stages of Scythris siccella (Zeller, 1839) (Lepidoptera: Scythrididae)”. Entomologica Fennica 14.4. issn: 0785-8760 (2003): 211–219. Print.	
Baranowski1979	Baranowski, Richard M. “Notes on the biology of Ischnodemus oblongus and I. fulvipes with descriptions of the immature stages (Hemiptera: Lygaeidae)”. Annals of the Entomological Society of America 72.5. issn: 0013-8746 (1979): 655–658. Print.	
Baranowski1982	Baranowski, Richard M and James A Slater. “The Pachygronthinae (Hemiptera: Lygaeidae) of Trinidad with the description of a new species and notes on other sedge feeding lygaeids”. The Florida Entomologist. issn: 0015-4040 (1982): 492–506. Print.	
Barata1981	Barata, José Maria Soares. “Morphological aspects of triatominae eggs: II. Macroscopic and exochorial characteristics of ten species of the genus Rhodnius Stal, 1859 (Hemiptera-Reduviidae)”. Revista de Saúde Pública 15.5. issn: 0034-8910 (1981): 490–542. Print.	
Barber1941	Barber, Geo W M. “Observations on the egg and newly hatched larva of the corn ear worm on corn silk”. Journal of Economic Entomology 34.3. issn: 0022-0493 (1941): 451–456. Print.	
Barber1922	Barber, Geo W M and W M O Ellis. “Eggs of three Cercopidae”. Psyche 29.1. issn: 0033-2615 (1922): 1–3. Print.	
Barbier1974	Barbier, R and G Chauvin. “The aquatic egg of Nymphula nymphaeata (Lepidoptera: Pyralidae)”. Cell and tissue research 149.4. issn: 0302-766X (1974): 473–479. Print.	
Barbosa2010	Barbosa, Eduardo P, Lucas A Kaminski, and André V L Freitas. “Immature stages of the butterfly Diaethria clymena janeira (Lepidoptera: Nymphalidae: Biblidinae)”. Zoologia (Curitiba) 27.5. issn: 1984-4670 (2010): 696–702. Print.	
barnes1969new	Barnes, A M and F J Radovsky. “A new Tunga (Siphonaptera) from the nearctic region with description of all stages”. Journal of Medical Entomology 6.1 (1969): 19–36. Print.	
Barnes2015	Barnes, Jeffrey K. “Biology and Immature Stages of Compsobata univitta (Walker, 1849) (Diptera: Micropezidae: Calobatinae)”. Proceedings of the Entomological Society of Washington 117.4. issn: 0013-8797 (2015): 421–434. Print.	
Bartell1980	Bartell, D P and B C Pass. “Morphology, development, and behavior of the immature stages of the parasite Bathyplectes anurus (Hymenoptera: Ichneumonidae)”. The Canadian Entomologist 112.5. issn: 1918-3240 (1980): 481–487. Print.	
BATELKA	Batelka, Jan. “New synonym and notes on the distribution of Metoecus javanus (Coleoptera: Ripiphoridae) Nové synonymum a poznámky k rozłíení druhu Metoecus javanus (Coleoptera: Ripiphoridae)”. Klapalekiana 39.4. issn: 1210-6100 (2003). Print.	
Batiz2014	Batiz, M F Rossi, A M Marino de Remes Lenicov, and Henry Hagedorn. “Description of the immature stages of the planthopper Lacertinella australis (Hemiptera: Delphacidae)”. Journal of Insect Science 14.1. issn: 1536-2442 (2014). Print.	
Baumann1973	Baumann, Richard W. “Studies on Utah stoneflies (Plecoptera)”. The Great Basin Naturalist. issn: 0017-3614 (1973): 91–108. Print.	
Beaver1966	Beaver, R A. “The biology and immature stages of Entedon leucogramma (Ratzeburg) (Hymenoptera: Eulophidae), a parasite of bark beetles”. Proceedings of the Royal Entomological Society of London. Series A, General Entomology 41.1‐3, (1966): 37–41. Print.	
Beckage1994	Beckage, Nancy E and Isaure de Buron. “Extraembryonic membranes of the endoparasitic wasp Cotesia congregata: presence of a separate amnion and serosa”. The Journal of Parasitology. issn: 0022-3395 (1994): 389–396. Print.	
Becnel1990	Becnel, J J and S W Dunkle. “Evolution of micropyles in dragonfly eggs (Anisoptera)”. Odonatologica 19 (1990): 235–241. Print.	
Bedding1973	Bedding, R A. “The immature stages of Rhinophorinae (Diptera: Calliphoridae) that parasitise British woodlice”. Transactions of the royal Entomological Society of London 125.1. issn: 1365-2311 (1973): 27–44. Print.	
bedford1977description	Bedford, G O. “Description and development of the eggs of two stick insects (Phasmatodea: Phasmatidae) from New Britain”. Austral Entomology 15.4 (1977): 389–393. Print.	
bedford1970development	“The development of the egg of Didymuria cuilescens (Phasmatodea: Phasmatidae: Podacanthinae) embryology and determination of the stage at which first diapause occurs”. Australian Journal of Zoology 18.2 (1970): 155–169. Print.	
beeman1977embryogenesis	Beeman, Sylvia L and Dale M Norris. “Embryogenesis of Xyleborus ferrugineus (Fabr.) (Coleoptera, Scolytidae). I. External morphogenesis of male and female embryos”. Journal of Morphology 152.2 (1977): 177–219. Print.	
Beig1982	Beig, D, et al. “Differences in quantity of food in worker and male brood cells ofScaptotrigona postica (Latr. 1807) (Hymenoptera, Apidae)”. Insectes Sociaux 29.2. issn: 0020-1812 (1982): 189–194. Print.	
Belfiore2003	Belfiore, Carlo, Helen Barber-James, and Elda Gaino. “The eggs of Afronurus Lestage, 1924 (Ephemeroptera: Heptageniidae): A cue for phylogenetic relationships”. Proceedings of the Xth International Conference on Ephemeroptera, XIV International Symposium on Plecoptera. 2003. 113–116. Print.	
Beliavsky1929	Beliavsky, G. “The study of Braula coeca”. Bee World 10 (1929). Print.	
bellanger2016new	Bellanger, Yannick. “A new stick insect of the genus Oncotophasma from Costa Rica (Phasmatodea, Diapheromeridae, Diapheromerinae)”. Bulletin de la Société entomologique de France 121.2 (2016): 141–148. Print.	
bellanger2013new	Bellanger, Yannick and Oskar Conle. “A new stick insect from Costa Rica (Phasmatodea, Pseudophasmatidae, Xerosomatinae)”. Bulletin de la Société entomologique de France 118.4 (2013): 503–508. Print.	
Benedek1968	Benedek, Paul. “On the Eurydema species in Hungary”. Zeitschrift für Angewandte Entomologie 61.1-4. issn: 1439-0418 (1968): 113–118. Print.	
Benitez-Mora2014	Benítez-Mora, Alfonso and Tania S Olivares. “Egg ultrastructure in two Chilean moths: Ormiscodes socialis and Polythysana cinerascens (Lepidoptera: Saturniidae)”. Revista de Biología Tropical 54.4. issn: 2215-2075 (2006): 1085–1091. Print.	
Benitez-Mora2006	“Ultraestructura de los huevos de dos mariposas nocturnas de Chile: Ormiscodes socialis y Polythysana cinerascens (Lepidoptera: Saturniidae)”. Revista de Biología Tropical 54.4. issn: 0034-7744 (2006): 1085–1091. Print.	
Benito1999	Benito, M J Sanz and P Gurrea Sanz. “Immature stages of five species of the genus Exapion Bedel (Coleoptera: Brentidae, Apioninae) associated with the seeds of Genista (Tournfourt) and Cytisus L.(Fabaceae)”. The Coleopterists’ Bulletin. issn: 0010-065X (1999): 8–26. Print.	
Bennett1960	Bennett, Fred D. “Parasites of Ancylostomia stercorea (Zell.), (Pyralidae, Lepidoptera) a pod borer attacking pigeon pea in Trinidad”. Bulletin of Entomological Research 50.4. issn: 1475-2670 (1960): 737–757. Print.	
